query,users,%share,,,,,,,,,,,,,,,,,,,,,240670,Volume based classification,Intent based classification
Perfume,68,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Game over,68,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Demon,67,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Tom and jerry,67,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Campus Sutra,67,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Mens jeans,67,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
T shirts for women,67,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Trousers for men,66,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Linen shirt,66,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
tshirt,66,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
One piece,66,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Shart,66,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Nike,66,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Flip flop,65,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Pink,65,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Heavy duty,65,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Vests,65,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Brown,65,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Jeans women,65,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Gurkha pants,65,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Linen shirts,65,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Sleeveless,65,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
White jeans,64,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.3 Product + Color
Cargo pant,64,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Straight fit jeans for men,64,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.5 Product + Multiple Modifiers
Jeans,63,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Luffy,63,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
College bag,63,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Oversized shirts,63,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Smart watch,63,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Berserk,62,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Yellow,62,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Wwe,62,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Tshirt women,61,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Brown shirt,61,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.3 Product + Color
Mens shorts,61,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Mens t shirt,61,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Women top,61,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Night suit for women,61,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
shoes,61,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Track pant,61,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Boys,60,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Shinchan,60,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Full sleeves,60,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Anime,60,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Hoodi,60,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Batman,59,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Snoopy,59,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Spiderman,59,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Jacket,59,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Jens,59,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
spiderman,58,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Hoodies,58,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Tanjiro,58,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Purple,58,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Women shirt,58,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Harry,58,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Ronaldo,57,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Baggy pants for men,57,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.5 Product + Multiple Modifiers
Anime t shirts,57,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.2 Product + Character
Track pants men,56,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
one piece,56,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Lower for women,56,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Slides for men,56,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Akatsuki,56,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Printed shirts,56,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Shorts women,56,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Taylor swift,56,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Cars,55,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
T shirt women,55,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Short kurti,55,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Denim shirts,55,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Full sleeve tshirt for women,55,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.5 Product + Multiple Modifiers
Watches,54,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Men cargo,53,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
T shirts men,53,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Batman t shirt,53,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.2 Product + Character
Green,53,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Tshirts for men,53,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Back cover,53,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Women shorts,53,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Shirts,52,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Slippers for men,52,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Bag pack,52,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Red,52,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Printed shirt,52,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Karma,52,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
superman,52,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Chappal,52,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Shose,51,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Men lower,51,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Hudi,51,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Huddy,51,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Oversized t shirts,51,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Boots,51,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Sukuna,50,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
White shirt for men,50,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.5 Product + Multiple Modifiers
Custom,50,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Gym vest,50,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,C.2 Product + Occasion
Lover,50,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Women t shirt,50,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Anime hoodie,49,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.2 Product + Character
Spider,49,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Korean pants,49,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Winter,49,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Hindi,49,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
White sneakers,49,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.3 Product + Color
Co ord,49,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Kurta for men,48,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Nirvana,48,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
bag,48,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Shirt for man,48,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Blue shirt,48,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.3 Product + Color
Glow,48,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Huddi,48,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Gym tshirt,48,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,C.2 Product + Occasion
Marvel tshirt,48,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.2 Product + Character
College bags,47,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Flip flops,47,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Crop tops,47,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Full t shirt,47,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Lower,47,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Red tshirt,47,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.3 Product + Color
T-shirt for men,47,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Daredevil,47,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Belt,47,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
I need a coffee break,47,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Powerpuff,47,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Sweatshirts,47,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Hoodies men,47,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Night dress,46,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Demon slayer tshirt,46,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.2 Product + Character
Pullover,46,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Straight fit jeans,46,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Shoes for women,46,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Joggers women,46,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Mens shirts,46,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Linen pants,46,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Messi,46,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
vest,46,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Sandals,46,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Juta,46,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Straight fit,45,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
T shirt,45,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Oversized shirt for men,45,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.5 Product + Multiple Modifiers
Star wars,45,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Air,45,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Kurtis,45,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Oversized tshirt women,45,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.5 Product + Multiple Modifiers
Girls,45,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
jacket,45,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Rick and morty,45,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Anime shoes,44,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.2 Product + Character
Game of thrones,44,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Shoes,44,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
White shoes,44,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.3 Product + Color
Barcelona,44,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Korean,44,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Hoodies for women,44,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Marvel t shirt,44,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.2 Product + Character
polo,44,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Sunglasses,44,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Shacket,44,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Attack on Titan,44,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Anime tshirts,44,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
lower,44,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Wolverine,44,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Pokemon,43,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Spiderman tshirt,43,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.2 Product + Character
Polo tshirt,43,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Pajamas,43,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Sneaker,43,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Blue,43,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Jean,43,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Brown tshirt,43,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.3 Product + Color
Cord set,42,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Onepiece,42,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Full sleeve tshirt for men,42,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.5 Product + Multiple Modifiers
Oversized tshirts,42,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Tshirts for women,42,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Car,42,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Blue tshirt,42,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.3 Product + Color
Bike,42,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Jins,42,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
kurta,42,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Gym pants for women,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,C.2 Product + Occasion
Women tops,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Phone,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Oversized,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Baggy lower,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Bleach,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Jacket for women,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Phone cover,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Naruto,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Death note,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Stitch,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
DC,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Dragon,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Hoody,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Tom and Jerry,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Sweaters,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Oversized t shirt men,41,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.5 Product + Multiple Modifiers
Music,40,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Formal shoes,40,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,C.2 Product + Occasion
Space,40,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Formal pants for men,40,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,C.2 Product + Occasion
Compression,40,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Dr doom,40,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Full tshirt,40,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Lowers for men,40,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Orange,40,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
White shirt,39,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.3 Product + Color
Men vest,39,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Slim shady,39,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Gym pants,39,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,C.2 Product + Occasion
Kurti set,39,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Mens cargo,39,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Black jeans for men,39,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.5 Product + Multiple Modifiers
Hoodie men,39,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Blazer,39,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
baggy jeans,39,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Moon knight,39,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Jeans for men,39,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Mens,39,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Skirt,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Kurti for women,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Earbuds,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Pajama for men,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Blue t shirt,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.3 Product + Color
Couple tshirt,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Jeans pant,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Shirts women,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Sneakers for men,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Full sleeve t shirt,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Short kurta,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Lenin pants,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
White shirts,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.3 Product + Color
Skirts,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Mickey,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Red t shirt,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.3 Product + Color
Polos,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
jersey,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Jacket men,38,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Beige,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Plus size,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
jackets,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Demon Slayer,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Grey,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Jerseys,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Shirt women,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
bags,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Oversized t shirts for men,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.5 Product + Multiple Modifiers
Hoodie for women,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Footwear,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Shorts,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Bmw,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Navy blue,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Sleepers,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Mobile,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Pent,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Side bag,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Superman tshirt,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.2 Product + Character
Gym bag,37,0.02%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,C.2 Product + Occasion
Track,36,0.01%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Aot,36,0.01%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Baggy jeans,36,0.01%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Minions,36,0.01%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Cargos for men,36,0.01%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
White pants,36,0.01%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.3 Product + Color
