query,users,%share,,,,,,,,,,,,,,,,,,,,,240670,Volume based classification,Intent based classification
School bag,92,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Mens shirt,92,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Dragon ball,92,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Formal,92,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,C.1 Bare Occasion
Bts,91,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
tshirts,91,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Black panther,91,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
V neck,90,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Jujutsu kaisen,90,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Cargo jeans,89,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Wednesday,89,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Sliders for men,88,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Top for women,87,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Mens tshirt,87,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Hulk,86,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Cargo men,86,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.2 Product + Gender
Sweater,86,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Clogs,86,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,Uncategorized
Dc,85,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
naruto,85,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Polo t shirt,85,0.04%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Disney,84,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,B.1 Bare Character/Theme
Denim jacket,83,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.4 Product + Style
Half shirt,83,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,A.1 Bare Product
Sports shoes,83,0.03%,,,,,,,,,,,,,,,,,,,,,,Long tail Queries,C.2 Product + Occasion
